PFPileUp::produce;35.75
TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce;34.53
other;27.11
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce;22.14
citk::PFIsolationSumProducerForPUPPI::produce;17.72
pat::PATMETProducer::produce;17.14
HGCalElectronIDValueMapProducer::produce;17.09
InputModule;15.61
HGCalPhotonIDValueMapProducer::produce;15.33
PFCand_AssoMap::produce;15.26
HGCalIsoCalculator::produceHGCalIso;14.66
pat::PATMuonProducer::produce;12.04
HGCalRecHitMapProducer::produce;6.93
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce;5.10
VirtualJetProducer::produce;4.49
PoolOutputModule;4.48
PileupJetIdProducer::produce;4.17
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce;4.16
BoostedJetONNXJetTagsProducer::produce;4.12
edm::EventProcessor::beginRun;4.12
PFRecoTauChargedHadronProducer::produce;3.86
edm::EventPrincipal::clearEventPrincipal;3.82
pat::PATPackedCandidateProducer::produce;3.57
pat::PATIsolatedTrackProducer::produce;3.45
RecoTauProducer::produce;3.31
edm::EventProcessor::init;3.13
ShiftedParticleProducer::produce;2.80
CandIsoDepositProducer::produce;2.52
edmplugin::SharedLibrary::SharedLibrary;2.21
DeepMETProducer::produce;2.03
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce;1.87
CandPtrProjector::produce;1.26
PFTauPrimaryVertexProducerBase::produce;1.04
JetFlavourClustering::produce;1.01
PFRecoTauTagInfoProducer::produce;0.93
DeepFlavourONNXJetTagsProducer::produce;0.82
deep_tau::DeepTauBase::produce;0.78
QGTagger::produce;0.37
BoostedTauSeedsProducer::produce;0.34
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2;0.31
ShiftedParticleMETcorrInputProducer::produce;0.27
CandIsolatorFromDeposits::produce;0.27
pat::PATLostTracks::produce;0.21
MultShiftMETcorrInputProducer::produce;0.17
DeepBoostedJetTagInfoProducer::produce;0.13
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce;0.10
JetTracksAssociationDRVertex::produce;0.10
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce;0.09
PuppiProducer::produce;0.08
JetChargeProducer::produce;0.07
RecoTauPiZeroProducer::produce;0.07
edm::FwdPtrProducer<reco::PFCandidate,reco::PFCandidateFwdPtrFactory>::produce;0.06
TauDiscriminationProducerBase<reco::PFTau,reco::PFTauDiscriminator,double,reco::PFTauDiscriminator>::produce;0.05
GenParticlePruner::produce;0.05
JetTagProducer::produce;0.05
RecoTauCleanerImpl<std::vector<reco::PFTau,std::allocator<reco::PFTau>>>::produce;0.05
MVAValueMapProducer<reco::GsfElectron>::produce;0.05
