TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce;36.64
PFPileUp::produce;35.82
other;26.65
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce;22.07
HGCalIsoCalculator::produceHGCalIso;17.42
citk::PFIsolationSumProducerForPUPPI::produce;17.27
pat::PATMETProducer::produce;17.15
HGCalElectronIDValueMapProducer::produce;17.00
InputModule;15.99
PFCand_AssoMap::produce;15.42
HGCalPhotonIDValueMapProducer::produce;15.02
pat::PATMuonProducer::produce;12.24
HGCalRecHitMapProducer::produce;6.92
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce;5.04
PoolOutputModule;4.87
PileupJetIdProducer::produce;4.54
VirtualJetProducer::produce;4.47
BoostedJetONNXJetTagsProducer::produce;4.31
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce;4.14
edm::EventProcessor::beginRun;4.09
edm::EventPrincipal::clearEventPrincipal;3.89
PFRecoTauChargedHadronProducer::produce;3.85
RecoTauProducer::produce;3.68
pat::PATIsolatedTrackProducer::produce;3.62
pat::PATPackedCandidateProducer::produce;3.37
edm::EventProcessor::init;3.14
ShiftedParticleProducer::produce;2.81
CandIsoDepositProducer::produce;2.63
edmplugin::SharedLibrary::SharedLibrary;2.28
DeepMETProducer::produce;2.06
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce;1.93
PFTauPrimaryVertexProducerBase::produce;1.18
CandPtrProjector::produce;1.13
JetFlavourClustering::produce;0.99
deep_tau::DeepTauBase::produce;0.81
PFRecoTauTagInfoProducer::produce;0.71
DeepFlavourONNXJetTagsProducer::produce;0.69
QGTagger::produce;0.39
ShiftedParticleMETcorrInputProducer::produce;0.37
BoostedTauSeedsProducer::produce;0.36
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2;0.28
MultShiftMETcorrInputProducer::produce;0.24
CandIsolatorFromDeposits::produce;0.23
pat::PATLostTracks::produce;0.20
DeepBoostedJetTagInfoProducer::produce;0.18
GenParticlePruner::produce;0.16
JetTracksAssociationDRVertex::produce;0.12
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce;0.10
edm::FwdPtrProducer<reco::PFCandidate,reco::PFCandidateFwdPtrFactory>::produce;0.09
pat::PATTauProducer::produce;0.08
JetTagProducer::produce;0.07
TauDiscriminationProducerBase<reco::PFTau,reco::PFTauDiscriminator,double,reco::PFTauDiscriminator>::produce;0.06
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce;0.06
RecoTauCleanerImpl<std::vector<reco::PFTau,std::allocator<reco::PFTau>>>::produce;0.05
PuppiProducer::produce;0.05
pat::JetCorrFactorsProducer::produce;0.04
Type0PFMETcorrInputProducer::produce;0.04
