TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce;45.66
PFPileUp::produce;35.20
other;26.83
pat::PATMETProducer::produce;24.34
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce;20.14
HGCalElectronIDValueMapProducer::produce;16.39
citk::PFIsolationSumProducerForPUPPI::produce;15.58
PFCand_AssoMap::produce;14.75
InputModule;14.43
HGCalPhotonIDValueMapProducer::produce;13.88
HGCalIsoCalculator::produceHGCalIso;13.56
pat::PATIsolatedTrackProducer::produce;13.47
pat::PATMuonProducer::produce;11.75
RecoTauProducer::produce;7.26
HGCalRecHitMapProducer::produce;6.93
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce;5.81
BoostedJetONNXJetTagsProducer::produce;5.63
PoolOutputModule;4.43
edm::EventPrincipal::clearEventPrincipal;4.32
PileupJetIdProducer::produce;4.25
VirtualJetProducer::produce;4.22
edm::EventProcessor::beginRun;4.17
PFRecoTauChargedHadronProducer::produce;4.02
edm::EventProcessor::init;3.22
pat::PATPackedCandidateProducer::produce;3.12
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce;2.97
CandIsoDepositProducer::produce;2.52
ShiftedParticleProducer::produce;2.47
edmplugin::SharedLibrary::SharedLibrary;2.45
DeepMETProducer::produce;2.17
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce;2.01
PFTauPrimaryVertexProducerBase::produce;1.30
CandPtrProjector::produce;1.14
deep_tau::DeepTauBase::produce;1.00
PFRecoTauTagInfoProducer::produce;0.90
JetFlavourClustering::produce;0.86
DeepFlavourONNXJetTagsProducer::produce;0.68
QGTagger::produce;0.44
BoostedTauSeedsProducer::produce;0.41
RecoTauCleanerImpl<std::vector<reco::PFTau,std::allocator<reco::PFTau>>>::produce;0.32
pat::PATLostTracks::produce;0.30
DeepBoostedJetTagInfoProducer::produce;0.26
ShiftedParticleMETcorrInputProducer::produce;0.22
CandIsolatorFromDeposits::produce;0.19
LowPtGSFToPackedCandidateLinker::produce;0.16
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2;0.14
MultShiftMETcorrInputProducer::produce;0.13
JetTracksAssociationDRVertex::produce;0.13
GenParticlePruner::produce;0.10
JetTagProducer::produce;0.10
PuppiProducer::produce;0.10
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce;0.09
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce;0.08
MVAValueMapProducer<reco::GsfElectron>::produce;0.08
TauDiscriminationProducerBase<reco::PFTau,reco::PFTauDiscriminator,double,reco::PFTauDiscriminator>::produce;0.07
JetChargeProducer::produce;0.06
pat::PATTauProducer::produce;0.06
cms::PFMETProducer::produce;0.05
RecoTauPiZeroProducer::produce;0.05
PFJetMETcorrInputProducerT<reco::PFJet,JetCorrExtractorT<reco::PFJet>>::produce;0.04
