PFPileUp::produce;35.91
TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce;35.66
other;26.95
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce;22.04
HGCalIsoCalculator::produceHGCalIso;17.56
citk::PFIsolationSumProducerForPUPPI::produce;17.48
pat::PATMETProducer::produce;17.15
HGCalElectronIDValueMapProducer::produce;16.94
InputModule;15.53
PFCand_AssoMap::produce;15.46
HGCalPhotonIDValueMapProducer::produce;14.85
pat::PATMuonProducer::produce;12.04
HGCalRecHitMapProducer::produce;6.77
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce;5.17
PoolOutputModule;4.78
PileupJetIdProducer::produce;4.32
VirtualJetProducer::produce;4.23
BoostedJetONNXJetTagsProducer::produce;4.14
PFRecoTauChargedHadronProducer::produce;4.13
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce;4.12
edm::EventProcessor::beginRun;4.10
RecoTauProducer::produce;3.81
edm::EventPrincipal::clearEventPrincipal;3.77
pat::PATIsolatedTrackProducer::produce;3.53
pat::PATPackedCandidateProducer::produce;3.45
edm::EventProcessor::init;3.07
ShiftedParticleProducer::produce;3.02
CandIsoDepositProducer::produce;2.46
edmplugin::SharedLibrary::SharedLibrary;2.31
DeepMETProducer::produce;2.03
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce;1.89
CandPtrProjector::produce;1.29
PFTauPrimaryVertexProducerBase::produce;1.17
JetFlavourClustering::produce;0.95
deep_tau::DeepTauBase::produce;0.89
PFRecoTauTagInfoProducer::produce;0.84
DeepFlavourONNXJetTagsProducer::produce;0.63
QGTagger::produce;0.38
BoostedTauSeedsProducer::produce;0.34
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2;0.26
CandIsolatorFromDeposits::produce;0.23
ShiftedParticleMETcorrInputProducer::produce;0.23
pat::PATLostTracks::produce;0.18
MultShiftMETcorrInputProducer::produce;0.17
DeepBoostedJetTagInfoProducer::produce;0.14
JetTracksAssociationDRVertex::produce;0.12
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce;0.11
GenParticlePruner::produce;0.10
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce;0.10
PuppiProducer::produce;0.08
JetChargeProducer::produce;0.07
RecoTauPiZeroProducer::produce;0.07
JetTagProducer::produce;0.06
RecoTauCleanerImpl<std::vector<reco::PFTau,std::allocator<reco::PFTau>>>::produce;0.05
Type0PFMETcorrInputProducer::produce;0.05
MVAValueMapProducer<reco::GsfElectron>::produce;0.05
PFJetMETcorrInputProducerT<reco::PFJet,JetCorrExtractorT<reco::PFJet>>::produce;0.04
pat::PATTauProducer::produce;0.04
edm::FwdPtrProducer<reco::PFCandidate,reco::PFCandidateFwdPtrFactory>::produce;0.04
